"Top","p.value","FDR","Cluster","ID","Gene","BaseGeneMean","OutlierFactor","GeneMean","DEFacGroup1","DEFacGroup2","ave.count"
1,0.0278,1,"clus_1","ENSG00000268181","Gene1144",9.16131098622002,1,9.16131098622002,1,1,12.7250371721869
2,0.0336,1,"clus_1","ENSG00000182583","Gene1517",27.233741739619,1,27.233741739619,1,1,39.702943587493
3,0.0342,1,"clus_1","ENSG00000207065","Gene173",245.820134299473,1,245.820134299473,1,1,255.714397747349
4,0.0483,1,"clus_1","ENSG00000140548","Gene884",306.559940869741,1,306.559940869741,1,1,433.15326426248
5,0.0639,1,"clus_1","ENSG00000110700","Gene1120",509.043310833377,191.316239169057,9366.74458882235,1,0.81973345117981,12117.0309562354
6,0.0659,1,"clus_1","ENSG00000117614","Gene405",1907.03407192021,1,1907.03407192021,1,1,2672.34060646638
7,0.076,1,"clus_1","ENSG00000274572","Gene1458",307.898639540739,1,307.898639540739,1,1,304.496553174682
8,0.081,1,"clus_1","ENSG00000185837","Gene629",393.827335829547,1,393.827335829547,1,1,486.793885669809
9,0.0949,1,"clus_1","ENSG00000220804","Gene282",317.027290922536,1,317.027290922536,1,1,375.766284303092
10,0.0987,1,"clus_1","ENSG00000282150","Gene69",145.026666681084,1,145.026666681084,1,1,273.849967754759
11,0.115,1,"clus_1","ENSG00000250961","Gene1985",30.7200806854923,1,30.7200806854923,0.748527940634024,1,36.0992274799803
12,0.117,1,"clus_1","ENSG00000130713","Gene255",390.865945638499,1,390.865945638499,1,1,512.897839704757
13,0.127,1,"clus_1","ENSG00000249927","Gene1852",126.891035794498,1,126.891035794498,1,1,103.882404941165
14,0.135,1,"clus_1","ENSG00000127948","Gene477",85.4640522704882,1,85.4640522704882,1,1,70.9498426632521
15,0.141,1,"clus_1","ENSG00000067225","Gene512",212.25225004427,1,212.25225004427,1,1.17073081472895,213.299353914851
16,0.146,1,"clus_1","ENSG00000010292","Gene902",259.719191043164,1,259.719191043164,1,1,234.182069341047
17,0.153,1,"clus_1","ENSG00000211789","Gene1675",297.808535373382,1,297.808535373382,1,1,384.741073273647
18,0.155,1,"clus_1","ENSG00000280909","Gene287",33.2603554877618,1,33.2603554877618,1,0.489732760081011,43.2960164209888
19,0.168,1,"clus_1","ENSG00000200653","Gene658",336.675453545509,1,336.675453545509,1,1,550.119851100475
20,0.169,1,"clus_1","ENSG00000275529","Gene1518",0.00550063660571696,94.7541937178214,4639.1165492771,1,1,4936.53477505801
21,0.179,1,"clus_1","ENSG00000254709","Gene1550",27.8219137106043,1,27.8219137106043,1,1,45.8191140130372
22,0.181,1,"clus_1","ENSG00000271400","Gene1894",73.6457221388976,1,73.6457221388976,1.58532532188158,1,104.628279808268
23,0.182,1,"clus_1","ENSG00000108021","Gene120",43.7914423742722,1,43.7914423742722,1,1,29.5972626035689
24,0.184,1,"clus_1","ENSG00000260646","Gene1173",13.2207685002484,1,13.2207685002484,1,1.21317493272686,21.7863806032645
25,0.189,1,"clus_1","ENSG00000156427","Gene862",188.661728805369,1,188.661728805369,1,1,212.702169577813
26,0.192,1,"clus_1","ENSG00000262946","Gene1844",174.030096543241,1,174.030096543241,1,1,250.931269182015
